User_ID,Username,Total_Comments,Total_Likes,Channels,Comment_Count_Per_Channel,Likes_Per_Channel
UCLjCQNnZtnmWUtZOUYPM9vQ,@NabhanZaman,15,19239,"Bangladesh,India,Pakistan",Bangladesh:11|India:2|Pakistan:2,Bangladesh:1342|India:0|Pakistan:17897
UCslfvCvO_r9_78lMuMsLwIQ,@munisqureshi8204,171,1980,"Bangladesh,India,Pakistan",Bangladesh:1|India:2|Pakistan:168,Bangladesh:0|India:2|Pakistan:1978
UCr8PctpkUrO-31CDHYS41Yw,@alaminanis,5,1940,"Bangladesh,India,Pakistan",Bangladesh:1|India:1|Pakistan:3,Bangladesh:0|India:1940|Pakistan:0
UCdbajB5nr-AFrDB8Qy_2HPw,@golamrabbi2005,94,1836,"Bangladesh,India,Pakistan",Bangladesh:54|India:22|Pakistan:18,Bangladesh:1006|India:335|Pakistan:495
UCBu0NVKcSh9fFMcw23iHY6Q,@ahmadazuadyaseerarjya1943,4,1807,"Bangladesh,India,Pakistan",Bangladesh:2|India:1|Pakistan:1,Bangladesh:1801|India:6|Pakistan:0
UCauWo2FIcUG3Je-wmjH5f8Q,@anupamadevnath,43,1807,"Bangladesh,India,Pakistan",Bangladesh:27|India:2|Pakistan:14,Bangladesh:1798|India:2|Pakistan:7
UCWbADycmpXua_VX1_GQJ3Iw,@good104,33,1784,"Bangladesh,India,Pakistan",Bangladesh:3|India:2|Pakistan:28,Bangladesh:998|India:1|Pakistan:785
UCddn21bUMcQwlRi1zQr708Q,@drananth,27,1743,"Bangladesh,India,Pakistan",Bangladesh:1|India:1|Pakistan:25,Bangladesh:0|India:0|Pakistan:1743
UC63mtQ1fFyfGOmHRnudM6_A,@speakup2888,7,1727,"Bangladesh,India,Pakistan",Bangladesh:2|India:3|Pakistan:2,Bangladesh:12|India:1532|Pakistan:183
UCxf1HuA_98ClsmbeWSf0tTQ,@mecutelicious5363,46,1709,"Bangladesh,India,Pakistan",Bangladesh:1|India:1|Pakistan:44,Bangladesh:1|India:2|Pakistan:1706
UCYxftoq3Kfra5Xd5JfXe-OA,@KamilVakil,17,1696,"Bangladesh,India,Pakistan",Bangladesh:1|India:2|Pakistan:14,Bangladesh:5|India:29|Pakistan:1662
UC1BOZrPWOqdYXIZnIaZoL-w,@akashpathak2251,6,1695,"Bangladesh,India,Pakistan",Bangladesh:3|India:1|Pakistan:2,Bangladesh:1674|India:1|Pakistan:20
UCPHWLokuQ_TI91djsWl4fVA,@dibyobasu,51,1640,"Bangladesh,India,Pakistan",Bangladesh:7|India:35|Pakistan:9,Bangladesh:807|India:0|Pakistan:833
UCuUHbNC4fF4lpubaWbmXi8A,@Averageguy868,4,1634,"Bangladesh,India,Pakistan",Bangladesh:2|India:1|Pakistan:1,Bangladesh:1628|India:5|Pakistan:1
UCrtFT2QFz9nUe47RUBJgKCA,@usmanarif24,26,1553,"Bangladesh,India,Pakistan",Bangladesh:1|India:8|Pakistan:17,Bangladesh:18|India:1483|Pakistan:52
UCtxRAPtzy3fNpvs1pTyPYMQ,@shasharos-hari4002,43,1533,"Bangladesh,India,Pakistan",Bangladesh:2|India:7|Pakistan:34,Bangladesh:871|India:174|Pakistan:488
UCTtyNblo_LsQBaROlyQyreA,@obydullahhasib6291,4,1509,"Bangladesh,India,Pakistan",Bangladesh:2|India:1|Pakistan:1,Bangladesh:1|India:0|Pakistan:1508
UCOC2lBs2tZLYE75QSO-jl3Q,@debashisdas889,18,1445,"Bangladesh,India,Pakistan",Bangladesh:2|India:6|Pakistan:10,Bangladesh:35|India:502|Pakistan:908
UCWhTi389J-9JXa5AGLSRrUQ,@rabbitwhisperer7525,66,1368,"Bangladesh,India,Pakistan",Bangladesh:23|India:16|Pakistan:27,Bangladesh:131|India:48|Pakistan:1189
UCaW3hZFlYZXszJ8134BIeww,@user-melody17,8,1353,"Bangladesh,India,Pakistan",Bangladesh:4|India:3|Pakistan:1,Bangladesh:58|India:0|Pakistan:1295
UC5UAKbHS0-GsGQli5W4at6w,@anish10x,32,1245,"Bangladesh,India,Pakistan",Bangladesh:7|India:5|Pakistan:20,Bangladesh:6|India:6|Pakistan:1233
UCMwD6Z753551h295X0zO-LA,@sagarchakraborty2928,9,1211,"Bangladesh,India,Pakistan",Bangladesh:1|India:2|Pakistan:6,Bangladesh:1|India:15|Pakistan:1195
UCtFhYLg9nL0bFD2MDxd6Gow,@mojammalhossain6382,11,1183,"Bangladesh,India,Pakistan",Bangladesh:5|India:2|Pakistan:4,Bangladesh:3|India:1|Pakistan:1179
UCSEyElljq2s1yWtlRgOKl1Q,@BanglaMediaHouse24,8,1182,"Bangladesh,India,Pakistan",Bangladesh:2|India:4|Pakistan:2,Bangladesh:188|India:132|Pakistan:862
UCkYXYu4-KVFAjdjLMDtzu8w,@MAD.Reactions.623,57,1138,"Bangladesh,India,Pakistan",Bangladesh:13|India:1|Pakistan:43,Bangladesh:880|India:1|Pakistan:257
UC2_8NvroOJ4QKMBg0xSHqNA,@Ali_Mirza4,88,1111,"Bangladesh,India,Pakistan",Bangladesh:3|India:6|Pakistan:79,Bangladesh:0|India:9|Pakistan:1102
UCno6_74FJFUzbwmM6KDQd2g,@kumareshkcb4076,9,1104,"Bangladesh,India,Pakistan",Bangladesh:4|India:3|Pakistan:2,Bangladesh:668|India:3|Pakistan:433
UC5Z7IrcSSiz-O6HXampSgOw,@MarceEV7,6,1086,"Bangladesh,India,Pakistan",Bangladesh:2|India:2|Pakistan:2,Bangladesh:6|India:0|Pakistan:1080
UCa8VwbqQ2rd0MNWhXrPFemw,@AdnanAshifDebi,6,1075,"Bangladesh,India,Pakistan",Bangladesh:1|India:4|Pakistan:1,Bangladesh:11|India:971|Pakistan:93
UCWj6sHiWuH9cpJw66RIM-bg,@dubaidiarysbymmm_shahed2557,17,1049,"Bangladesh,India,Pakistan",Bangladesh:9|India:1|Pakistan:7,Bangladesh:151|India:0|Pakistan:898
UC2u4nE6mZT9Ca9SsPA9GQeQ,@TH_Rifat,3,1039,"Bangladesh,India,Pakistan",Bangladesh:1|India:1|Pakistan:1,Bangladesh:1|India:2|Pakistan:1036
UCfvBRdfZ-WqmHw2s1tkMhdg,@saqibalvi6102,34,1017,"Bangladesh,India,Pakistan",Bangladesh:2|India:1|Pakistan:31,Bangladesh:7|India:4|Pakistan:1006
UC5BMg-z7ESpWAvICNdU6MJg,@Farziinsaan345,35,1002,"Bangladesh,India,Pakistan",Bangladesh:23|India:2|Pakistan:10,Bangladesh:888|India:102|Pakistan:12
UC_z5_T-v6g21UAzUe69zEfA,@XaheerKhan000,6,975,"Bangladesh,India,Pakistan",Bangladesh:3|India:1|Pakistan:2,Bangladesh:471|India:36|Pakistan:468
UC-KxdlIh5ofOq3PykJUyLEQ,@arjumanlaila,23,965,"Bangladesh,India,Pakistan",Bangladesh:8|India:3|Pakistan:12,Bangladesh:6|India:1|Pakistan:958
UCJ7fHzvtUWrfeksXopN4eYg,@MohammadMahadiHassain,7,957,"Bangladesh,India,Pakistan",Bangladesh:1|India:4|Pakistan:2,Bangladesh:0|India:5|Pakistan:952
UCvjCl4wuWLy82ty7tGdYm9g,@pakiball3266,19,927,"Bangladesh,India,Pakistan",Bangladesh:9|India:2|Pakistan:8,Bangladesh:821|India:76|Pakistan:30
UCtjmG_Ja1LqqUWogfYIZgWg,@nebula4113,3,923,"Bangladesh,India,Pakistan",Bangladesh:1|India:1|Pakistan:1,Bangladesh:16|India:45|Pakistan:862
UCUvH874AjWBfZ2pX7VmdiwA,@alaminbijoy1212,27,905,"Bangladesh,India,Pakistan",Bangladesh:2|India:6|Pakistan:19,Bangladesh:1|India:2|Pakistan:902
UCqsZ_3McZJPdeb3g9cWzhnQ,@peaceharmony1943,52,891,"Bangladesh,India,Pakistan",Bangladesh:5|India:2|Pakistan:45,Bangladesh:551|India:0|Pakistan:340
UC7cST3_nHXrgKt5ImYWghTg,@farhan020328,9,891,"Bangladesh,India,Pakistan",Bangladesh:5|India:1|Pakistan:3,Bangladesh:39|India:846|Pakistan:6
UCgNdyG9UlkOTryFJcoH39_w,@soumiyeahh,3,870,"Bangladesh,India,Pakistan",Bangladesh:1|India:1|Pakistan:1,Bangladesh:838|India:22|Pakistan:10
UCtRhSkzUtZwnwNwBgV83VAg,@sajalrahman007,9,866,"Bangladesh,India,Pakistan",Bangladesh:2|India:1|Pakistan:6,Bangladesh:40|India:0|Pakistan:826
UCJAQpLv1uYC1VS-F94urfLA,@soumyamukherjee8665,14,858,"Bangladesh,India,Pakistan",Bangladesh:1|India:8|Pakistan:5,Bangladesh:5|India:462|Pakistan:391
UCupcd5-EOpMxIkzjLLb8amQ,@mihirsingha833,5,835,"Bangladesh,India,Pakistan",Bangladesh:1|India:1|Pakistan:3,Bangladesh:0|India:2|Pakistan:833
UCEyrlc3RKs5j6xS_ikpNBuQ,@arthurmorgan9039,4,830,"Bangladesh,India,Pakistan",Bangladesh:1|India:1|Pakistan:2,Bangladesh:2|India:642|Pakistan:186
UCAusOLm082rFtkQkBrsCeWg,@khizarmohammed1885,12,827,"Bangladesh,India,Pakistan",Bangladesh:1|India:5|Pakistan:6,Bangladesh:1|India:75|Pakistan:751
UCZyB30lhKqns3-GxFxSHj1Q,@SurprisedAardvark-wk9eo,19,819,"Bangladesh,India,Pakistan",Bangladesh:2|India:2|Pakistan:15,Bangladesh:806|India:2|Pakistan:11
UCrnS7WyaxUe_7eccGa8MNbQ,@ImranKhan-kq4bh,24,808,"Bangladesh,India,Pakistan",Bangladesh:1|India:3|Pakistan:20,Bangladesh:11|India:573|Pakistan:224
UCbjLQPfrpb4-J_LKB13RiUg,@aliawais7939,38,799,"Bangladesh,India,Pakistan",Bangladesh:3|India:1|Pakistan:34,Bangladesh:8|India:20|Pakistan:771
UCuBqKhjWIoonU_Ns4fQTkEg,@musicbysazid,18,789,"Bangladesh,India,Pakistan",Bangladesh:15|India:1|Pakistan:2,Bangladesh:740|India:2|Pakistan:47
UCjgpfuBEJnjYe0J2P5haSxw,@BeyondHayder,57,786,"Bangladesh,India,Pakistan",Bangladesh:2|India:2|Pakistan:53,Bangladesh:2|India:0|Pakistan:784
UCAFgLF9Ft_c_7exhMso8IxQ,@alikhanmoazzam,23,786,"Bangladesh,India,Pakistan",Bangladesh:3|India:1|Pakistan:19,Bangladesh:17|India:0|Pakistan:769
UC9wy5f1NzalDHzi5vz4NWlw,@josephamalsabu,47,770,"Bangladesh,India,Pakistan",Bangladesh:1|India:1|Pakistan:45,Bangladesh:1|India:0|Pakistan:769
UCns6svOFzUAASMgwirwBbFA,@zafarooqi,34,756,"Bangladesh,India,Pakistan",Bangladesh:3|India:2|Pakistan:29,Bangladesh:492|India:0|Pakistan:264
UCCAqqIJIUpWKYeaseZsaU5g,@adityaray1914,16,742,"Bangladesh,India,Pakistan",Bangladesh:5|India:1|Pakistan:10,Bangladesh:199|India:2|Pakistan:541
UCnz2hcj7pJ6PW4qJ-iPzn-w,@SolarEngineer_Rahul,13,734,"Bangladesh,India,Pakistan",Bangladesh:1|India:1|Pakistan:11,Bangladesh:2|India:15|Pakistan:717
UCX7VJSuVLkaRSBFspqscQVw,@KrishPriyadarshi,12,733,"Bangladesh,India,Pakistan",Bangladesh:3|India:3|Pakistan:6,Bangladesh:269|India:1|Pakistan:463
UCpUvVTovWWOCfP2M1j8oY6Q,@hussainrangadi6603,8,733,"Bangladesh,India,Pakistan",Bangladesh:1|India:3|Pakistan:4,Bangladesh:1|India:659|Pakistan:73
UCmTGw0vxRKgsndxaVx_C3jw,@saleemhafiz19,26,726,"Bangladesh,India,Pakistan",Bangladesh:7|India:6|Pakistan:13,Bangladesh:82|India:614|Pakistan:30
UCb1czDT3cfqXsi_y2g5_sDQ,@Prasadmajumderbd,10,711,"Bangladesh,India,Pakistan",Bangladesh:5|India:2|Pakistan:3,Bangladesh:290|India:2|Pakistan:419
UCUNuKBlSsbsRzsYbssmBBvQ,@arunavamukherji2767,10,711,"Bangladesh,India,Pakistan",Bangladesh:4|India:1|Pakistan:5,Bangladesh:9|India:0|Pakistan:702
UC-6D9N0UOAkClRpan5719rQ,@roychiranjit6438,12,706,"Bangladesh,India,Pakistan",Bangladesh:9|India:2|Pakistan:1,Bangladesh:342|India:363|Pakistan:1
UCuqsHDdaRf4ovmMc2rjkAIA,@knowledgesearchlight,27,702,"Bangladesh,India,Pakistan",Bangladesh:1|India:1|Pakistan:25,Bangladesh:1|India:0|Pakistan:701
UCS6QMRnQpirfSasG6FT4NdA,@SohaibHayyat,9,695,"Bangladesh,India,Pakistan",Bangladesh:5|India:2|Pakistan:2,Bangladesh:691|India:3|Pakistan:1
UCXmldc27a0UNdD-wW9QdBIQ,@sameersaleem9696,13,687,"Bangladesh,India,Pakistan",Bangladesh:1|India:1|Pakistan:11,Bangladesh:642|India:39|Pakistan:6
UCQptGUv1ohNn5XkZkkEQnSg,@sameerdureja6126,20,679,"Bangladesh,India,Pakistan",Bangladesh:2|India:3|Pakistan:15,Bangladesh:2|India:1|Pakistan:676
UCWJAUJ0JDMQCCQm3784qX8g,@yourstruly_alif,10,675,"Bangladesh,India,Pakistan",Bangladesh:1|India:3|Pakistan:6,Bangladesh:0|India:619|Pakistan:56
UCtGNfhHFt352ZI_3keEz02g,@imamraju8649,5,670,"Bangladesh,India,Pakistan",Bangladesh:1|India:1|Pakistan:3,Bangladesh:0|India:407|Pakistan:263
UCrVUVoEzuWAd2XFc8GpNfmw,@ZeeshanAadeez,46,655,"Bangladesh,India,Pakistan",Bangladesh:4|India:2|Pakistan:40,Bangladesh:1|India:7|Pakistan:647
UCGVaMwX2uAQml3ThmnDpz7w,@barenyasahaofficial,4,650,"Bangladesh,India,Pakistan",Bangladesh:1|India:1|Pakistan:2,Bangladesh:531|India:38|Pakistan:81
UCR3bTLVVnUMamQUkjHi5zzQ,@csegrowth,14,638,"Bangladesh,India,Pakistan",Bangladesh:4|India:2|Pakistan:8,Bangladesh:6|India:628|Pakistan:4
UCtIEd2bCSmphYFfRSY2lurg,@PriyabrataHalder,7,637,"Bangladesh,India,Pakistan",Bangladesh:2|India:3|Pakistan:2,Bangladesh:1|India:630|Pakistan:6
UC6JPSWkRDLhufmCdtFHykVw,@asifthevamp,50,627,"Bangladesh,India,Pakistan",Bangladesh:2|India:2|Pakistan:46,Bangladesh:3|India:2|Pakistan:622
UCSJ1kuJ8bfgkGBC3UaEtwiA,@AliJamil539,18,627,"Bangladesh,India,Pakistan",Bangladesh:1|India:6|Pakistan:11,Bangladesh:4|India:164|Pakistan:459
UCYrEad4FiFFc-VyAKpE3QOg,@drmannan3348,21,623,"Bangladesh,India,Pakistan",Bangladesh:3|India:2|Pakistan:16,Bangladesh:0|India:1|Pakistan:622
UCE1DJ1l3iD-M1VAjwA-Q10A,@sajidafridi5951,8,622,"Bangladesh,India,Pakistan",Bangladesh:4|India:2|Pakistan:2,Bangladesh:621|India:0|Pakistan:1
